
Epoch 1, Train Loss: 0.1774901598871041, Val Loss: 0.15844132054409535
Epoch 2, Train Loss: 0.15396593029324251, Val Loss: 0.15478571005862393
Epoch 3, Train Loss: 0.1366521356663165, Val Loss: 0.16193796276188582
Epoch 4, Train Loss: 0.09832505688357812, Val Loss: 0.18369535865972367
Epoch 5, Train Loss: 0.0694236607881836, Val Loss: 0.22472531868399476
Epoch 6, Train Loss: 0.05287070504318063, Val Loss: 0.263435365163165
Epoch 7, Train Loss: 0.04330112434959469, Val Loss: 0.3077546033284647
Epoch 8, Train Loss: 0.03845115936844824, Val Loss: 0.3322785081837675
Epoch 9, Train Loss: 0.03532212198255225, Val Loss: 0.34683329810341484
Epoch 10, Train Loss: 0.03232127973863568, Val Loss: 0.36167830829140096
